s_m,posE_m,posN_m,posU_m
807.8716732725514,-903.9503036746592,131.11028907903994,6.062856491604537
808.3714083429969,-904.2820314640678,130.73666315450743,6.053084957208705
808.871137262715,-904.6117251634556,130.3612502450211,6.043276533397343
809.3708685163674,-904.9394185970187,129.98408746815073,6.033449060677484
809.870598899331,-905.2650459031167,129.6051419931113,6.023567758770991
810.3703272142852,-905.5886997243817,129.22451436726766,6.013607678841448
810.8700666609985,-905.9102982660428,128.84213643223532,6.003557434904962
811.3697992060994,-906.22983729183,128.45804721704792,5.99341335245918
811.869533276513,-906.5473015629606,128.0722432205645,5.983124815869364
812.3692710575305,-906.8626693702146,127.68472369807385,5.972655068372931
812.869020618881,-907.175944520874,127.29549995264338,5.962016457445304
813.3687582031961,-907.4870515277203,126.9045606365533,5.951221338027436
813.8685025287207,-907.7961163707831,126.5120008939165,5.940259488846317
814.3682616059904,-908.1030424498047,126.11775313710177,5.929113925760569
814.8680155298221,-908.407908946738,125.7219206207634,5.917843502432398
815.3677722601728,-908.7106080659516,125.3244270869832,5.90648906008088
815.8675345613475,-909.0111973587424,124.92533134713892,5.89504243729783
816.3672998192314,-909.309618252772,124.52460861460877,5.883571838883192
816.8670461841808,-909.6059163939015,124.1223371368581,5.872104536165417
817.3667863253518,-909.9000343393677,123.71847508852395,5.860690125644151
817.8665124931982,-910.1919902703506,123.31306271907877,5.849341650183675
818.3662385588857,-910.4817838672635,122.90610006015677,5.838063079399034
818.8659763286573,-910.7694660008506,122.49762460267954,5.826899334960173
819.3657142065437,-911.0550563651666,122.08768041135505,5.815860747936187
819.8654454035064,-911.3385292381228,121.67627376863067,5.804953235016884
820.365184805512,-911.6199708230563,121.26346050474575,5.794214829753232
820.8649386276251,-911.8992175268202,120.84913810053818,5.783626792857213
821.3647006981116,-912.1764573437098,120.43345653234215,5.773184336725546
821.8644661805969,-912.451572555559,120.01635538325124,5.7629966421930465
822.3642411710948,-912.7245634533872,119.5978437599755,5.753045159223347
822.8640257958565,-912.9955247032018,119.17799747745563,5.743361600927358
823.3638378334863,-913.2644296084684,118.75679127000267,5.734004481374154
823.8636319800029,-913.5312025698813,118.3342447905388,5.725012893977057
824.363436368034,-913.7958519195955,117.9103447896392,5.716414218019874
824.8632392052464,-914.058339426407,117.48509548330257,5.708277123097834
825.363043590555,-914.3187487484615,117.05855935900505,5.700638849073615
825.8628256118468,-914.5769505989261,116.63070037532677,5.6935280608639465
826.3626084213925,-914.8330359723552,116.20156137308274,5.686981688889422
826.8623750613204,-915.0869628705578,115.77115150613224,5.681051158918329
827.362130443662,-915.3386625775174,115.33944037731548,5.675740702105003
827.8618940239695,-915.5881897378631,114.90645287192588,5.671087463649038
828.3616377294026,-915.8355038077182,114.47221358872227,5.667116708751099
828.8613803429932,-916.080646368201,114.03674027219714,5.663831062233389
829.3611312056972,-916.3235474204347,113.59999855248702,5.661247680377223
829.8608693860857,-916.5642993231962,113.1620794262877,5.659347900529964
830.3606099627401,-916.8027969072488,112.72292336457781,5.6581232293980674
830.8603484338636,-917.0391406815339,112.28260551531476,5.657530356883427
831.3600929093221,-917.2732882051126,111.84110865526273,5.657553106480347
831.8598369228667,-917.5051760942916,111.39842170898757,5.658147684758526
832.3595908151996,-917.7349163445721,110.95460633666534,5.659281524863038
832.8593400389382,-917.9624669590052,110.50967104807069,5.660891947698813
833.3590875728639,-918.1878637839799,110.06364447837518,5.662933535770217
833.8588310536438,-918.4110323172464,109.61650529018051,5.665362264307116
834.3585765393118,-918.6321585388177,109.16835219729931,5.668109976106119
834.8583240708006,-918.8511303308092,108.71914188743872,5.671117808574909
835.358062812689,-919.0679832103324,108.26891614551157,5.674345825445912
835.8578031784361,-919.282646456699,107.81764191546925,5.677765345307133
836.3575518319145,-919.4951402877268,107.36533400355238,5.681320798293844
836.8573076535882,-919.7055767312979,106.91205808530334,5.6849713392730035
837.357071896279,-919.9139345585152,106.45781400236625,5.6886628465716855
837.8568325792592,-920.1201538963202,106.00259949875533,5.692415268510132
838.3566049588162,-920.3243717764702,105.54647092750804,5.696185585084308
838.8563669579822,-920.5266134361638,105.08947353129555,5.699893246050431
839.356145649531,-920.7269305648177,104.6316104429713,5.703523789284563
839.8559364325638,-920.9252753478888,104.17287574621923,5.707080730220238
840.3557286568191,-921.1217096554695,103.7133169842434,5.710482865233552
840.8555263672964,-921.3163431854831,103.25298524755857,5.713681707773178
841.3553317403137,-921.509229418051,102.79190894436196,5.716674167171513
841.8551424136685,-921.7003795719124,102.33010270039415,5.719379885296379
842.3549552705113,-921.8899810797471,101.86765432260952,5.721758535418219
842.8547710123042,-922.0781442831203,101.40461392127818,5.723751366395417
843.3545793678185,-922.2647841745758,100.94096381011214,5.725338053196408
843.8543901680879,-922.4501275400139,100.47679000387528,5.72650018815341
844.3542058983385,-922.6341525692419,100.012085726016,5.727198015417969
844.8540232866723,-922.816993454813,99.54691203495501,5.727461433587233
845.3538400915985,-922.9987656177611,99.08132027587527,5.7272793872302605
845.853666194727,-923.1794301780433,98.61528803283692,5.726648138188667
846.3534942939045,-923.3591663069434,98.14889544358311,5.72564544950087
846.8533348809646,-923.538005582195,97.68214564305183,5.724322647940055
847.3531818507215,-923.7160610507866,97.2150905568647,5.722652394490191
847.8530304556089,-923.8934028697371,96.74776337250228,5.720700519745106
848.3528857084897,-924.0700701392718,96.2801746918557,5.718515241991339
848.8527433927535,-924.246097436815,95.81234313806412,5.716121016819428
849.3525945967956,-924.4216611699101,95.34434529231633,5.713548434552743
849.8524444869694,-924.5968076022608,94.87619327019176,5.710842123004127
850.3522874463314,-924.7716314320344,94.40792892955812,5.707992586555168
850.8521360629621,-924.9460545985488,93.93951004673863,5.705001140593598
851.35197428223,-925.1204189000422,93.47108110413023,5.701892840029504
851.8518133178895,-925.2945689304495,93.00257230079764,5.698678858379458
852.3516505393102,-925.4686768274562,92.5340504263477,5.6953710979127115
852.8514755506789,-925.6428201691863,92.06555539805336,5.6919730125318315
853.3512982077576,-925.8169818937863,91.5970704398697,5.688476418584858
853.8511090400825,-925.9913734488609,91.12868421921922,5.684898439727145
854.3509190742409,-926.165915600673,90.6603555948611,5.6812368699823494
854.8507328449834,-926.3406148942845,90.19208209590069,5.677509618066598
855.3505463758618,-926.5156399739309,89.72393102369425,5.67372006192235
855.8503622334632,-926.6910201833018,89.25591091360525,5.669866463187955
856.3501811497382,-926.8667303819938,88.78801141651746,5.666001781197641
856.850000505749,-927.0428249357103,88.32025609396288,5.662121701781987
857.3498217769904,-927.2193665741263,87.85266742034226,5.658224857863551
857.8496472791231,-927.3962997333317,87.38522225404444,5.654325337305373
858.3494752044209,-927.5737405486886,86.91796700820329,5.6504205726727585
858.8493036159825,-927.7517073002122,86.45091136923116,5.646508225452633
859.3491416454348,-927.9301952186237,85.98404449300291,5.642579033589854
859.8489799110931,-928.1091850456626,85.51736960717307,5.638643989924019
860.3488225968764,-928.2887266043303,85.05090223336542,5.634678083321914
860.8486714549222,-928.4688597284747,84.58465697713,5.630640817706952
861.3485260721357,-928.6496027591779,84.1186420554956,5.626555720897974
861.8483827708486,-928.8309764982034,83.65287069699595,5.62239307251864
862.3482427514092,-929.0129287423131,83.1873227393227,5.618094219680986
862.8481093710919,-929.1954883401236,82.72200651879649,5.613684499114504
863.347983265985,-929.3787806340348,82.25697221654598,5.6091080901831125
863.847856790808,-929.5627380537369,81.79220291450913,5.604343172589641
864.3477334766951,-929.7475145391764,81.32775706969252,5.599402650891751
864.8476089441458,-929.9329691259637,80.86358533348097,5.594237527374645
865.347480745933,-930.1192702429895,80.39975941502459,5.588831106653259
865.847348632596,-930.3064761972454,79.93630506351272,5.583183197945942
866.3472158913945,-930.494565975906,79.47321234004761,5.577297532658969
866.8470834256653,-930.68352195263,79.01047556708086,5.571143702748295
867.3469524807325,-930.8734506692107,78.54813876127206,5.56475364591611
867.8468123118417,-931.0644069581589,78.0862387232795,5.55812783501249
868.3466613324422,-931.2563709346409,77.62477129358088,5.551295086237672
868.8465093624886,-931.4495738166962,77.16382522630346,5.544264967583434
869.3463463744002,-931.6439151139532,76.70337234090839,5.537078940266635
869.8461730953835,-931.8395288589602,76.24347201886752,5.52975039607643
870.3459902323407,-932.0364062109825,75.78412369062154,5.5222943921622765
870.8458069215783,-932.2345163885245,75.32530752395985,5.5147574428716855
871.3456166999798,-932.4340315166437,74.8671092408404,5.507150762667249
871.8454181803942,-932.6349717652249,74.40954437949418,5.499473915289547
872.3452064991965,-932.8373227981983,73.95261659669285,5.491765194895194
872.8449846281275,-933.0411418625778,73.49635374694368,5.484007676477693
873.3447619520717,-933.2464192754474,73.04074667250833,5.476213382481936
873.8445355057929,-933.4531780306561,72.58581469347779,5.468382890860598
874.3443017932315,-933.6614691266619,72.13159071020071,5.460525766657392
874.8440642380575,-933.8713561349731,71.67810659294936,5.452645385864187
875.3438269135229,-934.0827369273637,71.22531721123642,5.444729060665955
875.8435864636281,-934.2957087381005,70.77327765076075,5.436801165748504
876.3433520967071,-934.5102997829877,70.32199767136063,5.428879571602852
876.843113777636,-934.7263752014487,69.87143124384993,5.4209394417596215
877.3428767018206,-934.9440865887657,69.42165169366541,5.412996617456203
877.8426398269867,-935.1633644480906,68.97263430011633,5.4050102555850135
878.3424097075399,-935.3842287728219,68.52438775764814,5.39701521120889
878.8421893565987,-935.60659724185,68.0768750070768,5.388996503610617
879.3419750607326,-935.8304778895385,67.63011037452918,5.380961035254242
879.8417754065214,-936.05586677215,67.18408896132209,5.372890334759117
880.3415848952259,-936.2829009615258,66.73889315909399,5.364784809973532
880.8414010946882,-936.511429044266,66.29445552384736,5.3566400558059835
881.3412267969643,-936.7414225918588,65.85076468125638,5.348446343436132
881.8410617738748,-936.9728936348765,65.40783369372537,5.3401819213576065
882.3409064115398,-937.2058207423029,64.96565759232011,5.331820116859282
882.8407613093611,-937.4402150822415,64.5242474934244,5.323374000966937
883.3406277539684,-937.6760923984184,64.08361679747757,5.314833278113469
883.8405103460373,-937.9133483396126,63.643710549084865,5.306189387408779
884.3403942688126,-938.1519714716378,63.2045454626911,5.297416474295753
884.8402818162427,-938.3920609230832,62.76617864079918,5.288520135456851
885.3401718262112,-938.6334858586433,62.328546508918386,5.2794570398710645
885.8400641221897,-938.8762472482236,61.891655805940296,5.270198046458869
886.3399509043147,-939.120355206629,61.455526302638745,5.260755804332095
886.8398341456123,-939.365841744053,61.020180445578866,5.251081114957793
887.3397152023248,-939.6126369577928,60.58558349223413,5.241147259785183
887.8395958700853,-939.860769550379,60.151754936171436,5.2309648022368975
888.339473917414,-940.1102366888076,59.71870227785813,5.2204956010642425
888.8393458010867,-940.3611022435603,59.28647230925992,5.2097425656458665
889.3392088241516,-940.6133218380892,58.85504884314009,5.1986921880786925
889.839063029076,-940.8668593090784,58.424416957834815,5.187327490834173
890.338909699222,-941.1217537453288,57.99460322228169,5.175679626029851
890.8387487551219,-941.3779636557178,57.56558886505326,5.163752978840832
891.3385774701031,-941.6355143329627,57.1373974775128,5.151565747540617
891.8383946818781,-941.8944620665417,56.71007040820717,5.1391201740520005
892.3382054300669,-942.1548381359214,56.28362628536708,5.1264514489956765
892.8380149518089,-942.4166182288524,55.858050663263526,5.113562273684353
893.337812562462,-942.6798028618805,55.43336170976602,5.100493481481689
893.8376047086534,-942.9443310012604,55.009520152003894,5.087250113907352
894.3373915245921,-943.2102385417833,54.58655387987019,5.073849594645078
894.8371719053247,-943.4776137628271,54.16452556927365,5.060320914296367
895.3369422279496,-943.7463726786824,53.74339231844271,5.046689862631986
895.8367060401586,-944.0164983524066,53.3231456786295,5.032951226807596
896.3364754049896,-944.288074080161,52.903830936199874,5.019124119389544
896.8362416228985,-944.56099240357,52.48539601596754,5.0051929011876
897.3360099744235,-944.8352224193499,52.067819790247086,4.991178646142018
897.8357743216004,-945.110781127401,51.65112692701151,4.977076913805417
898.3355414586835,-945.3876191999882,51.235281501398696,4.96291870518657
898.8353133411823,-945.6657999291454,50.82032974186391,4.94869008188461
899.3350915286953,-945.9452766879656,50.40624449478749,4.934393713576558
899.8348681032656,-946.2259739313054,49.992989656855706,4.920036798982205
900.33464528934,-946.5078670340074,49.58055170377079,4.905599028223784
900.8344296807355,-946.7909366485171,49.16891395074566,4.8910941494439095
901.3342123475081,-947.0751433740036,48.75806519516337,4.8765150126027095
901.8340000865359,-947.3604620160337,48.347985502602846,4.861828204167426
902.3338012273185,-947.6468339742835,47.93862790438838,4.847041769845207
902.8336017042267,-947.9342236245128,47.52998929965763,4.832135516716219
903.33340210946,-948.2225971863818,47.12204858000772,4.8171187548174315
903.8332119242989,-948.5118820488003,46.71474701671194,4.80196765183678
904.3330335944295,-948.8021117056534,46.30810806819328,4.786696313888276
904.8328600656283,-949.0932448846487,45.902114121726015,4.771305120592429
905.3326918969124,-949.3852776447004,45.496764478560564,4.755800495252075
905.8325228788453,-949.678061173975,45.09196132509113,4.74020490527496
906.3323563443502,-949.9716273790021,44.687726663151885,4.724497754309038
906.8321929431222,-950.265929903028,44.284027668190184,4.708693600080195
907.3320372597384,-950.5609594354094,43.88085298426459,4.692816254020994
907.8318857895691,-950.856651653261,43.47816204243172,4.676857856804223
908.3317316238932,-951.1530398763339,43.07598907420587,4.660833408504544
908.8315739660762,-951.4500200667678,42.674259954378535,4.644744660524601
909.331421124487,-951.747665123159,42.27302109452141,4.628558879180038
909.8312690763223,-952.0458870928122,41.87221340229936,4.6122854153260455
910.3311187263604,-952.344710465757,41.47185458978738,4.595942659464728
910.8309717727697,-952.6441003616352,41.07191924666334,4.5794963963347834
911.3308256784902,-952.9440896815989,40.67243671613865,4.562942158891456
911.8306825299206,-953.2445307131503,40.27329231759664,4.546334702889812
912.3305357109621,-953.5454187634176,39.874492893801246,4.529643286411199
912.8303882799222,-953.846847710389,39.47610750268414,4.5128426683229454
913.3302339497458,-954.1487887348188,39.078122661185375,4.495949553012085
913.8300733540109,-954.4512171797796,38.68051917523286,4.478980943960648
914.3299076599183,-954.7540663177127,38.283247036081505,4.461905216473628
914.829734441382,-955.0573501358924,37.88632007332637,4.4447377083043875
915.3295526016027,-955.3610501430223,37.489725524781704,4.427496391058909
915.8293699449765,-955.6651811894537,37.09346487181868,4.410199621211927
916.3291846730629,-955.969770455662,36.69756239230177,4.392839666284936
916.8289953481277,-956.2747661404298,36.30198066162939,4.375420207625938
917.3288042772698,-956.5801398732194,35.90669542278202,4.357943682751484
917.8286113694319,-956.8858665037617,35.51168666930223,4.340438214258086
918.3284196647136,-957.1920440253709,35.117027139773356,4.3229021643719605
918.8282257335435,-957.4985260035227,34.722607418067106,4.305352616327627
919.3280353871675,-957.8054029912183,34.32849074750514,4.287795445038702
